What was the first dynasty in China?, Xia dynasty, Zhou dynasty, Qin dynasty, Shang dynasty
Who was the British Prime Minister during World War II?, Winston Chuchill, Stanley Baldwin, David Lioyd George, Harold Wilson
Who was in the command module while Neil Armstrong and Buzz Aldrin were on the moon?, Michael Collins, John Glenn, Eugene Cernan, Jim Lovell
Famed Roman slave and gladiator Spartacus was born in which country?, Bulgaria, Greece, Italy, Albania
Where did the industrial revolution begin?, England, United States, Spain, Hungary
The �Ides of March� are famous for what significant event?, The assassination of Julius Caesar, The assassination of Malcolm X, The assassination of Indira Gandhi, The assassination of John F. Kennedy
The Hundred Years War was fought between what two countries?, France and England, Italy and Carthage, England and Germany, Spain and France
Who was the first Western explorer to reach China?, Marco Polo, Magellan, Cook, Sir Francis Drake
In which city John F. Kennedy was assassinated?, Dallas, New York, Austin, Miami
Who invented the telephone?, Alexander Graham Bell, Thomas Edison, Guglielmo Marconi, Nikola Tesla
What political work did Karl Marx co-author?, The Communist Manifesto, The Wealth of Nations, Mein Kampf, The Jungle
What is the name of the famous battle in which Napoleon Bonaparte was defeated?, Battle of Waterloo, Battle of Rolica, Battle of Hastings, Battle of Stalingrad
What is now where the Incan Empire was located in?, Peru, Mexico, Central America, Brazil
Who assassinated Abraham Lincoln?, John Wilkes Booth, Lee Harvey Oswald, James Earl Ray, Leon Czolgosz
An eye for an eye and a tooth for a tooth is a well-known phrase from what collection of 282 laws?, The Code of Hammurabi, The 10 Commandments, English Law, U.S. Constitution
